ordem_item;categoria;nome_item;nivel;rotulo_original;preco_bruto_centavos;preco_reais;desativado_na_fonte;source_id;json_pointer;status_revisao;observacoes_ike
137;Drinks;Manhattan;opcao;[sem rotulo];5800;58,00;false;6338ade51a69000011b559dd;/body/2/menus/5/menuItems/11/options/0;PENDENTE;
138;Drinks;Moscow Mule;opcao;Grey Goose;5600;56,00;false;6a4951616ae208b30e6ed8ac;/body/2/menus/5/menuItems/12/options/0;PENDENTE;
139;Drinks;Margarita;opcao;Sombrero Negro;5400;54,00;false;6a2d780a5f1b7fe38c88d722;/body/2/menus/5/menuItems/13/options/0;PENDENTE;
140;Drinks;Mojito;opcao;Havana 3;5200;52,00;false;6652801f3e035f0cdfffe2b8;/body/2/menus/5/menuItems/14/options/0;PENDENTE;
141;Drinks;Negroni;opcao;Bombay Sapphire;5800;58,00;false;6a49519d6ae208b30e6ee4b6;/body/2/menus/5/menuItems/15/options/0;PENDENTE;
141;Drinks;Negroni;opcao;Hendricks;6600;66,00;false;6a49519d6ae208b30e6ee4b7;/body/2/menus/5/menuItems/15/options/1;PENDENTE;
142;Drinks;Old Fashioned;opcao;Jim Beam;5800;58,00;false;66e0c10022a75a1032aad76f;/body/2/menus/5/menuItems/16/options/0;PENDENTE;
143;Drinks;Whisky Sour;opcao;[sem rotulo];5200;52,00;false;644839b9b252e60056764d11;/body/2/menus/5/menuItems/17/options/0;PENDENTE;
144;Drinks;Amareto Sour;opcao;[sem rotulo];4800;48,00;false;643ef787b252e6005675644d;/body/2/menus/5/menuItems/18/options/0;PENDENTE;
145;Drinks;Bombay Tonic;opcao;Bombay;5600;56,00;false;6a4951036ae208b30e6ec4d8;/body/2/menus/5/menuItems/19/options/0;PENDENTE;
146;Drinks;Pencilin Dewar's;opcao;Dewar's 12 anos;5800;58,00;false;689fb3204760ba65eb76605a;/body/2/menus/5/menuItems/20/options/0;PENDENTE;
146;Drinks;Pencilin Dewar's;opcao;Dewar's 15 anos;6800;68,00;false;689fb3204760ba65eb76605b;/body/2/menus/5/menuItems/20/options/1;PENDENTE;
147;Drinks;Hendricks;opcao;[sem rotulo];6800;68,00;false;66aa90be1c9eeb89ca8ae9e7;/body/2/menus/5/menuItems/21/options/0;PENDENTE;
148;Drinks;Bombay Sapphire;opcao;[sem rotulo];4800;48,00;false;6a4957556ae208b30e6ff7ce;/body/2/menus/5/menuItems/22/options/0;PENDENTE;
149;Drinks;Mark Twain;opcao;Dewar's 12 anos;5200;52,00;false;689f9a7b4760ba65eb72843e;/body/2/menus/5/menuItems/23/options/0;PENDENTE;
149;Drinks;Mark Twain;opcao;Dewar's 15 anos;6200;62,00;false;689f9a7b4760ba65eb72843f;/body/2/menus/5/menuItems/23/options/1;PENDENTE;
150;Drinks jarras e copo;Clericot Tradicional;opcao;[sem rotulo];13900;139,00;false;65cea213b4cea6006abf89be;/body/2/menus/6/menuItems/0/options/0;PENDENTE;
151;Drinks jarras e copo;Clericot Espumante;opcao;[sem rotulo];13900;139,00;false;68f3e72b2f30ff1d7a2e96e6;/body/2/menus/6/menuItems/1/options/0;PENDENTE;
152;Caipirinha;Caipiroska;opcao;Grey Goose;6800;68,00;false;6a91a4c800761cc47527229f;/body/2/menus/7/menuItems/0/options/0;PENDENTE;
153;Caipirinha;Caipirinha;opcao;Famigerada;4800;48,00;false;6a91a4ecdaf8694fab9d963a;/body/2/menus/7/menuItems/1/options/0;PENDENTE;
153;Caipirinha;Caipirinha;opcao;[sem rotulo];0;0,00;false;6a91a4ecdaf8694fab9d963b;/body/2/menus/7/menuItems/1/options/1;PENDENTE;
154;Caipirinha;Caip Sake;opcao;Geikkeikan;4600;46,00;false;6a91a50600761cc47527294c;/body/2/menus/7/menuItems/2/options/0;PENDENTE;
