ordem_item;restaurant_id;source_product_id;categoria;produto;source_step_id;etapa;descricao_etapa;tipo_etapa;etapa_obrigatoria;quantidade_minima_etapa;quantidade_etapa;source_component_id;source_variant_id;nome_variante_componente;descricao;preco_reais;preco_bruto_api;tratamento_preco;ativo_na_fonte;quantidade_maxima_componente;source_file;json_pointer;status_revisao;observacoes_ike
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19366;Linguiças e Embutidos;;unica;false;1;1;74772;94584;Salsicha Weisswurst;Salsicha branca alemã a base de carne de vitelo e carne suína, servida com mostarda doce.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/5/complements/4;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74773;94585;Picanha;Corte nobre localizado na parte superior traseira do boi, sobre a alcatra. Reconhecida por sua capa de gordura, apresenta carne macia, suculenta e de sabor marcante.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/0;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74774;94586;Bife Ancho;Corte nobre localizado na parte dianteira do contrafilé, próximo às costelas. Possui excelente marmoreio e gordura entremeada, que proporcionam maciez, suculência e sabor intenso.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/1;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74775;94587;Ojo de Bife;Parte central do Bife Ancho, localizada na região dianteira do contrafilé, próxima às costelas. Possui ótimo marmoreio, textura macia e elevada suculência.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/2;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74776;94588;Flat Iron;Corte retirado da parte superior da paleta bovina. Surpreende pela extrema maciez, fibras delicadas e sabor intenso.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/3;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74777;94589;Denver Steak;Corte localizado na parte interna do dianteiro bovino, abaixo da paleta. Apresenta bom marmoreio, muita suculência e sabor pronunciado.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/4;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74778;94590;Bife de Chorizo;Corte nobre extraído da parte central do contrafilé. Possui uma camada lateral de gordura, textura firme, excelente suculência e sabor marcante.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/5;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74779;94591;Fraldinha;Localizada na região abdominal traseira do boi, próxima à costela e à alcatra. Possui fibras longas, textura macia e sabor intenso.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/6;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74780;94592;Assado de Tira;Corte transversal da costela bovina, servido em tiras com pequenos segmentos de osso. A combinação entre carne, gordura e osso proporciona muita suculência e sabor.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/7;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74781;94593;Sobrecoxa Desossada;Corte retirado da parte superior da coxa do frango. Sem osso e naturalmente suculenta, possui carne macia e sabor mais intenso que o peito.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/8;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74782;94594;Costela Francesa;Corte suíno da região das costelas, apresentado com os ossos limpos e expostos no estilo French Rack. Possui carne macia, boa presença de gordura e apresentação sofisticada.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/9;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74783;94595;Costelinha BBQ;Corte suíno localizado na caixa torácica, com carne entremeada aos ossos. Preparada lentamente e finalizada com molho barbecue, apresenta textura macia, suculência e sabor agridoce defumado.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/10;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74784;94596;Contra Filet de Cordeiro;Corte localizado na região dorsal e lombar do cordeiro. Possui carne macia, fibras delicadas e sabor característico, porém equilibrado.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/11;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19367;Proteínas e Cortes;;unica;false;1;1;74785;94597;Salmão;Corte extraído da região do lombo. Possui textura macia, gordura natural e sabor delicado.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/6/complements/12;PENDENTE;
1;freneze;94531;Experiência Frêneze;Experiência Frêneze;19368;Adicionais;;unica;false;1;1;74787;94599;Arroz Biro-Biro;Arroz branco salteado na manteiga com ovo mexido e mix de linguiças, finalizado com batata palha artesanal e salsinha fresca.;0,00;0.00;SEM_COBRANCA_SEPARADA_NA_FONTE;1;;raw_detalhes.json;/responses/0/body/product/product_composite_steps/7/complements/0;PENDENTE;
