ordem;restaurant_id;categoria;caminho_categorias;source_category_ids;source_id;tipo_original;nome;descricao;preco_direto_centavos;preco_fonte_centavos;preco_fonte_reais;origem_preco;preco_json_pointer;json_pointer;opcoes;sinalizacoes;estado_fonte;status_revisao_humana;observacoes_ike
25;madonna_cucina;| Dolci;Menu Principal > | Dolci;691390df308a9fdefff0ca64 > 69139391308a9fdefff141e6;691393b071688df07a6e7f12;dish;Baba al Rum;Pão de massa leve embebido em rum e sorvete de manga.;5800;5800;58,00;price direto;/0/menus/5/menuItems/1/price;/0/menus/5/menuItems/1;;;FONTE_VERIFICADA;PENDENTE;
26;madonna_cucina;| Dolci;Menu Principal > | Dolci;691390df308a9fdefff0ca64 > 69139391308a9fdefff141e6;691393f971688df07a6e8541;dish;Torta al Formaggio;Torta de gorgonzola, creme de framboesa, ganache montada de chocolate branco e Gelato de menta. ;5800;5800;58,00;price direto;/0/menus/5/menuItems/2/price;/0/menus/5/menuItems/2;;;FONTE_VERIFICADA;PENDENTE;
27;madonna_cucina;| Dolci;Menu Principal > | Dolci;691390df308a9fdefff0ca64 > 69139391308a9fdefff141e6;6913940971688df07a6e8605;dish;Cioccolato e Nocciola;Chocolate cremoso, avelã caramelizada e caramelo salgado;5800;5800;58,00;price direto;/0/menus/5/menuItems/3/price;/0/menus/5/menuItems/3;;;FONTE_VERIFICADA;PENDENTE;
28;madonna_cucina;| Dolci;Menu Principal > | Dolci;691390df308a9fdefff0ca64 > 69139391308a9fdefff141e6;6913941871688df07a6e86aa;dish;Tortino al Limone;"Tortinha de limão-siciliano, creme de baunilha, suspiro e gelato de baunilha.
";5800;5800;58,00;price direto;/0/menus/5/menuItems/4/price;/0/menus/5/menuItems/4;;;FONTE_VERIFICADA;PENDENTE;
29;madonna_cucina;| Dolci;Menu Principal > | Dolci;691390df308a9fdefff0ca64 > 69139391308a9fdefff141e6;699cbe138e2fff5512b501fb;dish;Polenta;Bolo de polenta, picles de milho, creme de polenta e espuma de grana padano. ;4800;4800;48,00;price direto;/0/menus/5/menuItems/5/price;/0/menus/5/menuItems/5;;;FONTE_VERIFICADA;PENDENTE;
30;madonna_cucina;| Luce;Bar > | Luce;691b1921308a9fdefff6b49e > 691b1987308a9fdefff6bda1;691b19d4308a9fdefff6c0d5;pantry;Pelle;"Gin seco · Jerez Fino · Jerez Manzanilla · Cordial de Yuzu (ácido cítrico e tartárico) · pitada de
sal";6200;6200;62,00;price direto;/1/menus/0/menuItems/0/price;/1/menus/0/menuItems/0;[sem rotulo]: R$ 62,00;;FONTE_VERIFICADA;PENDENTE;
31;madonna_cucina;| Luce;Bar > | Luce;691b1921308a9fdefff6b49e > 691b1987308a9fdefff6bda1;691b19ea308a9fdefff6c23f;pantry;Primavera;Vodka Vanilla · Grapefruit · Limão · Xarope de Melancia 1883 · espumante. ;5800;5800;58,00;price direto;/1/menus/0/menuItems/1/price;/1/menus/0/menuItems/1;[sem rotulo]: R$ 58,00;;FONTE_VERIFICADA;PENDENTE;
32;madonna_cucina;| Luce;Bar > | Luce;691b1921308a9fdefff6b49e > 691b1987308a9fdefff6bda1;691b1a09308a9fdefff6c421;pantry;Solaris del Giardino;Lemoncello da casa · Espumante;5800;5800;58,00;price direto;/1/menus/0/menuItems/2/price;/1/menus/0/menuItems/2;[sem rotulo]: R$ 58,00;;FONTE_VERIFICADA;PENDENTE;
33;madonna_cucina;| Ombra;Bar > | Ombra;691b1921308a9fdefff6b49e > 691b1a15308a9fdefff6c4b7;691b1a70308a9fdefff6cf7a;pantry;Dolce e Nero;Rum Zacapa 23 · Jerez Oloroso · Vinho branco seco · Caramelo de macadâmia 1883;9800;9800;98,00;price direto;/1/menus/1/menuItems/0/price;/1/menus/1/menuItems/0;[sem rotulo]: R$ 98,00;;FONTE_VERIFICADA;PENDENTE;
34;madonna_cucina;| Ombra;Bar > | Ombra;691b1921308a9fdefff6b49e > 691b1a15308a9fdefff6c4b7;691b1a83308a9fdefff6d035;pantry;Terracota;"Bourbon · Antica Fórmula · Amaro Montenegro · Bitter de cacau";6200;6200;62,00;price direto;/1/menus/1/menuItems/1/price;/1/menus/1/menuItems/1;[sem rotulo]: R$ 62,00;;FONTE_VERIFICADA;PENDENTE;
35;madonna_cucina;| Ombra;Bar > | Ombra;691b1921308a9fdefff6b49e > 691b1a15308a9fdefff6c4b7;691b1a92308a9fdefff6d121;pantry;Vespro;"Tequila Reposado · Vermute tinto (Antica Fórmula) · Redução de vinho do Porto Ruby · Bitter
de cacau";8800;8800;88,00;price direto;/1/menus/1/menuItems/2/price;/1/menus/1/menuItems/2;[sem rotulo]: R$ 88,00;;FONTE_VERIFICADA;PENDENTE;
36;madonna_cucina;| Releituras Madonna;Bar > | Releituras Madonna;691b1921308a9fdefff6b49e > 69245c4b6c464a20549b062d;691b1a28308a9fdefff6c650;pantry;Rosso Madonna;Gin seco · Bitter clássico · Vermute tinto com amêndoas tostadas;6600;6600;66,00;price direto;/1/menus/2/menuItems/0/price;/1/menus/2/menuItems/0;[sem rotulo]: R$ 66,00;;FONTE_VERIFICADA;PENDENTE;
37;madonna_cucina;| Releituras Madonna;Bar > | Releituras Madonna;691b1921308a9fdefff6b49e > 69245c4b6c464a20549b062d;691b1a46308a9fdefff6cc37;pantry;Negroni D’Oro;Gin em fat wash de avelã · Bitter clássico · Antica Fórmula com casca de siciliano · Mel trufado;6600;6600;66,00;price direto;/1/menus/2/menuItems/1/price;/1/menus/2/menuItems/1;[sem rotulo]: R$ 66,00;;FONTE_VERIFICADA;PENDENTE;
38;madonna_cucina;| Releituras Madonna;Bar > | Releituras Madonna;691b1921308a9fdefff6b49e > 69245c4b6c464a20549b062d;691b1a5b308a9fdefff6ce6c;pantry;Veludo Nero;Campari · Gin · Café · Licor de café · Vermute Antica Fórmula;7200;7200;72,00;price direto;/1/menus/2/menuItems/2/price;/1/menus/2/menuItems/2;[sem rotulo]: R$ 72,00;;FONTE_VERIFICADA;PENDENTE;
39;madonna_cucina;| Releituras Madonna;Bar > | Releituras Madonna;691b1921308a9fdefff6b49e > 69245c4b6c464a20549b062d;69f8c7ce55153376bd08f4c6;pantry;Negroni Du Papi ;Gin. Campari. Jerez. Salmoura de azeitona. ;6600;6600;66,00;price direto;/1/menus/2/menuItems/3/price;/1/menus/2/menuItems/3;[sem rotulo]: R$ 66,00;;FONTE_VERIFICADA;PENDENTE;
40;madonna_cucina;| Spritz;Bar > | Spritz;691b1921308a9fdefff6b49e > 69245d266c464a20549b1d17;69245d546c464a20549b20c3;pantry;Sbagliato;;5200;5200;52,00;price direto;/1/menus/3/menuItems/0/price;/1/menus/3/menuItems/0;[sem rotulo]: R$ 52,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
41;madonna_cucina;| Spritz;Bar > | Spritz;691b1921308a9fdefff6b49e > 69245d266c464a20549b1d17;69245d6a6c464a20549b240d;pantry;Aperol Spritz;;5600;5600;56,00;price direto;/1/menus/3/menuItems/1/price;/1/menus/3/menuItems/1;[sem rotulo]: R$ 56,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
42;madonna_cucina;| Spritz;Bar > | Spritz;691b1921308a9fdefff6b49e > 69245d266c464a20549b1d17;69245d796c464a20549b2684;pantry;Bellini;;5000;5000;50,00;price direto;/1/menus/3/menuItems/2/price;/1/menus/3/menuItems/2;[sem rotulo]: R$ 50,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
43;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;691b1aab308a9fdefff6d2f8;pantry;Negroni ;;5800;5800;58,00;price direto;/1/menus/4/menuItems/0/price;/1/menus/4/menuItems/0;[sem rotulo]: R$ 58,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
44;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;691b1ab9308a9fdefff6d3a4;pantry;Americano;;5200;5200;52,00;price direto;/1/menus/4/menuItems/1/price;/1/menus/4/menuItems/1;[sem rotulo]: R$ 52,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
45;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;691b1ac7308a9fdefff6d4b5;pantry;Boulevardier;;5800;5800;58,00;price direto;/1/menus/4/menuItems/2/price;/1/menus/4/menuItems/2;[sem rotulo]: R$ 58,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
46;madonna_cucina;| Clássicos;Bar > | Clássicos;691b1921308a9fdefff6b49e > 691b1a9d308a9fdefff6d262;691b1b47308a9fdefff6df23;pantry;Amaretto Sour ;;5600;5600;56,00;price direto;/1/menus/4/menuItems/3/price;/1/menus/4/menuItems/3;[sem rotulo]: R$ 56,00;DESCRICAO_PT_AUSENTE;FONTE_VERIFICADA;PENDENTE;
